Requirement,Prediction,Type
The HATS-GUI shall collect error messages from HATS-SML in a single display area. ,F,LF
The display area shall be a window accessible via a window tab. ,NFR,O
The display shall list all error received from HATS-SML in the order received.,F,PE
Errors shall not be displayed until requested by the user.,F,US
The user shall be able to clear the error window without restarting the HATS-GUI.,NFR,US
"Searching, selecting, and cursor location motion should be mirrored in the two windows.",F,LF
"Selecting, and cursor location motion should be mirrored in the two windows.",F,LF
"The HATS-GUI shall display and SDT with 10,000 nodes in five seconds or less.",NFR,PE
The complexity of the text search algorithm shall not exceed O(n2) for n nodes.,NFR,PE
The complexity of the tree search algorithm shall not exceed O(n2) for n nodes.,NFR,PE
The system shall be implemented in the Java 1.3 programming language.,NFR,O
"Whenever a power-on reset occurs, System Initialization shall [SRS194] perform the following functions.",NFR,PE
System Initialization shall [SRS014] initiate the watchdog timer.,F,PE
The application can use this time on the ICP to initialize I/O boards.,NFR,PE
FTSS will wait until the normal ICP presence test fails.,NFR,PE
This will allow the interrupt handler to initiate normal activities.,F,PE
"The application can create ""vehicle modes"" to designate a unique segment.",F,US
"The application can also set up ""rate groups"".",F,US
The scheduler shall [SRS196] support up to 20 tasks per rate group.,NFR,SC
The scheduler shall [SRS197] support up to 3 rate groups per vehicle mode.,NFR,SC
The scheduler shall [SRS195] support up to 5 vehicle modes.,NFR,O
The FTSS software shall [SRS002] provide the identical services in all vehicle modes.,NFR,O
The scheduler shall [SRS021] process vehicle mode changes during minor frame 49.,F,PE
The scheduler shall [SRS025] keep a minor frame count from 0 to 49.,NFR,PE
"The scheduler shall [SRS028] detect 50 Hz, 10 Hz and 1 Hz rate group over-runs.",NFR,PE
The behavior of synchronous tasks executed by the scheduler must be deterministic.,NFR,PE
"For purposes of handling exceptions, exceptions are defined as either software or hardware exceptions. ",NFR,SE
"Communication services shall [SRS047] provide ""synchronous"" message passing services in the form of ""message queues"".",NFR,PE
"Communication services shall [SRS048] provide ""immediate"" message passing services in the form of ""pipes"". ",NFR,SE
"Communication services shall [SRS049] provide the capability to ""broadcast"" messages to all virtual groups.",NFR,SE
This restriction does NOT apply to the ICPs since they are running as simplex VGs.,NFR,O
Communication services shall [SRS052] route messages to the proper virtual group(s) and socket.,NFR,O
Communication services shall [SRS054] perform synchronous message passing at rate group frame boundaries. ,NFR,PE
This restriction does NOT apply to the ICPs since they are running as simplex VGs.,NFR,O
"Sockets used for ""synchronous"" message passing behave differently than those used for ""immediate"" message.",NFR,PE
"Sockets used for ""synchronous"" message passing behave differently than those used for ""immediate"" message passing.",NFR,PE
Sockets are non-blocking and place the burden of polling on the application task.,NFR,SE
One task is allowed to receive messages from this queue. ,F,SE
"""Pipe"" sockets are used for ""immediate"" communication. They may be created with a broadcast capability. ",NFR,O
Pipes may only be opened by one sending task. ,F,SE
"Communication services shall [SRS068] provide an API for ""pipe"" communication.",NFR,O
FTSS IBIT executes on the Flight Control Processors (FCPs) at system initialization. ,NFR,O
These tests exercise the functionality of the various system components.,NFR,O
Continuous BIT executes on the FCP at all times after initialization is complete. ,NFR,PE
Continuous BIT shall [SRS093] execute on the FCP virtual group.,NFR,PE
Continuous BIT shall [SRS096] diagnose the faulty FCR within 1 second after detecting a failure.,NFR,PE
RAM scrub shall [SRS275] not scrub the area used for telemetry data.,NFR,SE
Redundancy Management maintains the mapping of physical hardware to virtual groups. ,F,SE
The virtual group configuration defines the mapping of physical hardware to virtual group(s). ,F,O
"When a fault occurs, the configuration will change. ",F,FT
The new configuration depends on the previous configuration.,F,O
All the possible configuration changes are shown in REF _Ref504962431 Figure 3‑2.,NFR,O
Redundancy Management picks up where it left off in these attempts.,F,PE
"While synchronization is being attempted, the FCP virtual group shall [SRS123] maintain synchronous operations.",NFR,PE
"During alignment, Redundancy Management shall [SRS126] update MET (and, by extension, SEP).",NFR,PE
Non-congruent memory is not modified during realignment.,NFR,PE
Memory alignment shall [SRS045] align processor state and congruent aligned memory locations. ,F,LF
Processor state includes all registers. It also includes those timers used by FTSS.,F,O
FTSS shall [SRS200] initialize congruent initialized memory locations from non-volatile memory.,F,O
The FCP watchdog timer shall [SRS293] remain active during memory re-alignment.,NFR,PE
Support Services shall [SRS156] provide an API call to provide the current command data.,NFR,O
The FTSS software shall [SRS159] be written in the C programming language.,NFR,O
FTSS shall [SRS160] use the VxWorks Operating System version 5.4.,NFR,O
FTSS object modules linked to the application on the four FCPs shall [SRS166] be identical.,NFR,O
"FTSS shall [SRS226] provide ""immediate"" message passing services in the form of ""pipes"".",NFR,SE
FTSS shall [SRS227] route messages to the proper virtual group(s) and socket.,NFR,O
Sockets are non-blocking and place the burden of polling on the application task.,NFR,SE
A packet size is assumed to be 60 bytes.,NFR,PE
All healthy FCRs shall (3.1.22) be incorporated as they become available.,NFR,US
The FCC hardware shall (3.2.1.1) use 3-digit binary numbers as outlined above for both addresses.,NFR,LF
The CT shall (3.2.2.2.2) also contain time-outs and vote masks.,NFR,PE
The NE shall (3.2.2.3.1) be configured to automatically enter ISYNC microcode following power on.,NFR,O
A time-out period shall (3.2.2.3.3) be started when 3 NEs have joined in.,F,PE
It shall (3.2.2.4.2) stay in TNR mode indefinitely until a successful TNR exchange is observed.,NFR,PE
The Configuration Table shall (3.2.2.4.7) be exchanged and voted into the newly recovered NE.,F,FT
Time-outs in the scoreboard shall (3.2.2.4.8) be aligned by resetting all time-outs.,F,PE
The global synchronous timer shall (3.2.2.4.9) be realigned by exchanging and voting the timer value.,F,PE
The timer value will stop incrementing until the realignment of the timer is complete.,F,PE
The NE shall (3.2.2.5.3) provide the capability to perform a voted VME bus reset.,NFR,PE
The timestamps shall (3.2.2.7.2) be congruent across all members of the destination FCP.,NFR,PE
The timestamp shall (3.2.2.7.4) be a 32-bit quantity that indicates relative time within the FCC.,NFR,PE
The resolution of the timestamp shall (3.2.2.7.5) be 1.28 microseconds.,NFR,PE
The timestamp counter shall (3.2.2.7.7) be initialized to zero during ISYNC.,NFR,PE
"The counter shall (3.2.2.7.8) increase monotonically after that, except during TNR.",NFR,PE
The timestamps shall (3.2.2.7.9) be frozen during TNR until the realignment is complete.,NFR,A
The prototype NE shall (3.2.3.1.1.1) reside on a single commercial grade 6U VME board.,NFR,O
The prototype NE shall (3.2.3.1.1.2) dissipate no more than 35 Watts.,NFR,PE
The storage temperature range shall (3.2.3.1.1.4) be from - 30º to + 60º C.,NFR,SC
The prototype NE shall (3.2.3.1.1.6) be fabricated using commercial grade components.,NFR,O
"Each flight NE shall (3.2.3.1.2.1) reside on a single ruggedized, wedge-locked, conduction-cooled 6U VME board.",NFR,O
The conduction-cooled boards’ mechanical core shall (3.2.3.1.2.3) be designed in accordance with IEEE 1101.2.,NFR,O
Power de-coupling mechanisms shall (3.2.3.1.2.4) be designed into the NE.,NFR,O
Connector P1 pins 1 and 32 of row d shall (3.2.3.1.2.8) be connected to +5V.,NFR,O
The inter-NE communications shall (3.2.3.1.2.9) be through fiber.,NFR,SC
Each flight NE shall (3.2.3.1.2.11) dissipate no more than 35 Watts.,NFR,PE
Each flight NE shall (3.2.3.1.2.12) be conduction-cooled.,NFR,O
Flight hardware shall (3.2.3.1.2.13) be fabricated using radiation-hardened and/or radiation tolerant components.,NFR,O
All radiation test results shall (3.2.3.1.3.3.7) be characterized and documented.,NFR,US
"The useful operating service life shall (3.2.3.1.3.10.2.1) be a minimum of 30,000 hours.",NFR,SC
The flight NE storage life shall (3.2.3.1.3.10.3.1) be 5 years or better.,NFR,PE
The X-38 NE shall (3.2.3.2.1) be able to communicate with 4 other NEs.,NFR,O
The NE shall (3.2.3.2.2) support at least two physical processors per FCR.,NFR,O
The NE shall (3.2.3.2.3) support at least 6 virtual groups.,NFR,O
The contractor shall (3.2.4.1) maintain a product identification and tracking system.,NFR,SE
The surviving triplex shall (3.3.2.5) attempt to sync with the failed FCP.,NFR,PE
Start Up shall (3.3.2.12) synchronize its FCP with other operational FCPs.,NFR,PE
Start Up shall (3.3.2.13) make their state congruent.,F,PE
It shall (3.3.2.17) support normal synchronization following power on or reset.,NFR,PE
Start Up shall (3.3.2.19) test to ensure that all four FCPs are synchronized.,NFR,PE
Unsynchronized processors shall (3.3.2.20) be excluded from the FCP configuration.,NFR,O
During start up the FCP watchdog timer shall (3.3.2.45) be active.,NFR,PE
System Initialization shall (3.3.2.21) initiate execution of FTSS and X-38 application code.,NFR,O
Process scheduling shall (3.3.4.4) only be performed at certain controlled locations (synchronization points).,NFR,PE
Higher iteration tasks shall (3.3.4.9) have higher priority over lower iteration tasks.,NFR,PE
The Scheduler shall (3.3.4.13) attempt recovery from a frame overrun according to the following policy:,F,PE
The FDIR shall (3.3.5.4) execute CBIT during all operational phases.,NFR,PE
The CBIT shall (3.3.5.8) also arm and reset the hardware watchdog timer.,F,PE
The FDIR shall (3.3.5.13) be able to discriminate between permanent and non-permanent faults.,NFR,LF
"Additionally, FDIR shall (3.3.5.20) reinitialize and integrate an FCP if permitted by the Vehicle/Mission Manager.",NFR,O
The FCP watchdog timer shall (3.3.5.38) remain active during memory re-alignment.,NFR,PE
Reintegration of an FCP shall (3.3.5.21) be completed in at most 1.5 minutes.,NFR,PE
It shall (3.3.5.22) be possible to perform voted VMEbus resets via the NEs.,NFR,O
"For a permanent NE failure, FDIR shall (3.3.5.23) mask the failed NE.",NFR,PE
"For a transient NE failure, FDIR shall (3.3.5.24) mask the failed NE.",NFR,PE
"Additionally, FDIR shall (3.3.5.25) reinitialize and integrate the NE.",NFR,O
Access to the transmit queues shall (3.3.6.8) be controlled within the communication service primitives .,NFR,O
Broadcast primitives shall (3.3.6.10) not be available on ICPs.,NFR,O
"The Memory Management software shall (3.3.8.2) periodically ""scrub"" volatile and read/write memory in the FCP.",NFR,O
It shall (3.3.8.16) not be necessary to scrub that area used to store telemetry data.,NFR,SE
Memory scrubbing shall (3.3.8.5) be executed without interfering with normal execution of applications tasks.,NFR,O
The memory scrubbing software shall (3.3.8.6) be capable of scrubbing 10 Megabytes in 8 minutes.,NFR,PE
The re-align function shall (3.3.8.13) be allowed only when permitted by the Vehicle/Mission Manager.,NFR,PE
Time Management shall (3.3.10.4) provide MET.,NFR,PE
The MET shall (3.3.10.5) be initialized to zero at the first 50 Hz frame.,NFR,PE
The MET shall (3.3.10.9) be congruent across all FCP members.,NFR,L
Time Management shall (3.3.10.11) provide SEP.,NFR,PE
The SEP shall (3.3.10.16) be congruent across all FCP members.,NFR,L
"The Time Services, if dealing with the year designation, shall (3.3.10.21) be Year 2000-compliant.",NFR,L
No year designation used in any requirement,F,SE
Time Management shall (3.3.10.23) provide a utility timer.,NFR,PE
The utility timer shall (3.3.10.24) be available via an FTSS API call(s).,NFR,PE
The utility timer shall (3.3.10.25) have a resolution of 60.6 nanoseconds.,NFR,PE
The utility timer shall (3.3.10.26) have an accuracy of at most 50 PPM.,NFR,PE
Load modules of the four FCPs shall (3.3.11.1) be identical.,NFR,O
"Control flow of the four FCPs shall (3.3.11.2) be similar, if not identical.",NFR,PE
An application programming interface shall (3.3.13.3) be documented in a FTSS API document.,NFR,O
The interrupts across all channels shall (3.4.1.2.6) have a skew no greater than 330 microseconds.,NFR,PE
The FTSS software shall (3.4.2.4) move this buffer to the MPCC/CTC over the VMEbus.,NFR,O
Draper shall (3.5.5) not violate the 100 microseconds requirement.,NFR,PE
The C2C Project shall utilize the TMDD standard (including message sets) to transmit information.,NFR,SE
DATEX/ASN shall be used to transmit the TMDD message sets.,NFR,O
"TCP/IP shall be used to transmit the DATEX/ASN data,",NFR,O
The map shall display interstates and state highways on the graphical map.,F,LF
A configuration file shall be provided to specify specific speed values. ,F,O
The color coding shall be as follows: Green - speeds > TBD MPH. ,NFR,LF
Yellow - speeds between TBD and TBD MPH. Red – speeds below TBD MPH.,NFR,PE
The map shall display the current incidents (as icons) known to the C2C Project.,F,LF
"The map shall be capable of displaying the following for a DMS: Location, Current Message.",F,LF
"The map shall be capable of displaying the following for a LCS: Location, Current Signals.",F,LF
"The map shall be capable of displaying the following for a CCTV: Location, Status.",F,LF
The C2C Server shall execute in a Microsoft Windows NT environment,NFR,O
A DATEX/ASN runtime library shall be available on any computer communicating to the C2C project.,NFR,O
The C2C shall execute in a Microsoft Windows NT environment,NFR,O
The C2C shall be implemented in the C/C++ programming language.,NFR,O
The C2C web interface shall be implemented using C/C++ and ESRI ARC IMS.,NFR,O
The Incident GUI shall be implemented using C/C++ and ESRI Map Objects.,NFR,O
The Remote Control GUI shall be implemented using C/C++ and ESRI Map Objects.,NFR,O
The C2C shall be able to operate in normal mode. ,NFR,O
The C2C shall be able to operate in test mode. ,NFR,O
"In this mode, the C2C performs normal mode operations and also logs activities.",NFR,O
The tools shall offer best possible performance to correctly process large collections (I/O bound).,NFR,PE
The workflow system shall have a configurable management strategy for migration from ARCs to WARCs.,NFR,O
The migration workflow system will be driven by command line tools and scripts.,NFR,O
Migration configurations can be built with a Web User Interface.,F,O
The migration API will require inclusion of only one header file.,NFR,O
"The migration process shall use persistent, opaque, unique, and global identifiers for records access.",NFR,SE
This may be achieved by using a simple messaging infrastructure.,NFR,O
Logging during the migration may be turned on/off at any time .,NFR,PE
"Deduplication may be run before migration, inside a batch process.",NFR,O
Duplicate detection shall find and report WARC records with the same checksums.,NFR,SE
Core validation shall use payload checksum comparisons.,F,SE
It shall be possible to repackage WARC files by filtering records based on MIME-Types.,F,O
It shall be possible to repackage WARC files by filtering records based on size.,F,O
"Repackaging will allow pre and post record, file and job operations",F,SE
Pre operation can prevent a file or record being processed by returning value,F,SE
The migration framework shall provide tools to build reports from WARC files.,NFR,O
Repackaging filters can be used by the summary module.,F,O
"It shall be possible to export summaries in various formats (e.g., XML, CSV).",F,O
Enhance the WARC browser to display aggregated WARCs summaries in its UI.,F,LF
Enhance the WARC browser to display a manifest of WARC files and their locations.,F,LF
Provide a tool to draw difference graphs between WARC collections (see FR 30).,F,US
Provide a way to view crawls deltas for quality assurance.,NFR,US
Implement WARC browser server side rewriting.,NFR,O
Integrate a proxy mode inside the WARC browser.,NFR,SE
There are four main Data Operations required to be processed by the ELSS. ,NFR,O
These are available to all ELSS suppliers from the UK FMC.,NFR,O
The ELSS must use English (UK) localizations for all UK Electronic Logbook features.,NFR,O
All dates and times must be UTC.,NFR,A
Generation of a hard copy for providing regulatory returns for Cod and Hake effort reporting.,F,O
"Each file should have the suffix of .xml, e.g. A1234520090623000001.xml.",NFR,LF
"It is recognised that communications methods, other than email, are available for data transmission. ",NFR,SE
All corrections must be easily identifiable within the ELSS user interface.,NFR,US
The ELSS must provide facilities to transmit deletions to previously transmitted data.,F,SE
All deletions must be easily identifiable within the ELSS user interface.,NFR,US
One username/password must be provided for the owner of each vessel,NFR,SE
Product MUST use English (UK) localization for all UK C Electronic Logbook features.,NFR,O
"Using wireless communication, sensor values can be read and saved in the home database.",NFR,O
Controller values can be sent to controllers to change the DH environment.,NFR,O
A DH user shall be able to read the temperature at a thermostat position.,NFR,US
Up to eight thermostats shall be placed in rooms throughout the home.,NFR,O
"A thermostat unit shall communicate, through wireless signals, with the master control unit.",NFR,O
The system shall support Fahrenheit and Celsius temperature values.,NFR,PE
A DH user shall be able to read the humidity at a humidistat position.,NFR,US
Up to eight humidistats shall be placed in rooms throughout the home.,NFR,O
The DigitalHome security system consists of contact sensors and a set security alarms.,NFR,O
DigitalHome provides a monthly planner.,F,US
The Digital Home System shall incorporate backup and recovery mechanisms.,NFR,O
"Upon installation, a DigitalHome user account shall be established. ",NFR,O
Log in to an account shall require entry of an account name and a password.,F,SE
This shall include information on limitations and constraints on parameter settings and sensor reading accuracy.,NFR,US
Allows resources to be reviewed before a decision is made whether they should be retained.,F,US
Allows for temporary storage outside of the repository (this is optional for certain NLM collections).,F,O
A minimal set of identifying information/metadata concerning rejection decisions must be recorded.,NFR,SE
Certain reasons for rejection should prevent a possible resubmission.,F,FT
Allows notification of producers and donors about rejected content.,F,SE
"Accepts SIPS in the following formats: XML, MARC, MARC XML, MODS, EAD, DC, TEI, etc.",NFR,O
"Conversion needs only to preserve content, not the look, feel and experience of the original.",NFR,O
Error message feature is configurable for all types of errors.,F,SE
System generates an error log.,F,FT
Allows retention of metadata for files rejected but not replaced.,F,SE
Transmission problems allow rejection of entire packages.,F,SE
Maintains log of messages sent concerning resubmissions.,F,SE
Accommodates a resubmitted SIP in case of errors resulting from the SIP submission.,F,FT
Stores and tracks versions of a document/file/image. Links /connections between versions are created and maintained.,NFR,SE
Keeps an audit trail of all actions.,F,SE
Performs virus checking on SIP.,F,SE
Any QA errors shall prompt a request for resubmission and/or internal action.,F,FT
Internal action may result in creation of a digital object in another preferred format.,NFR,SE
Allows NLM staff to accept or reject the SIPs at file or batch level.,NFR,SE
Generates statistical and error reports.,F,US
Keeps an audit trail of all actions.,F,SE
Generates AIPs for Repository Storage by transforming SIPs to conform to repository’s data formatting standards.,NFR,O
Capable of interacting with other parts of the system to obtain additional information as needed.,NFR,US
Keeps an audit trail of all actions.,F,SE
Converts data as described in 7.1.1.10.,NFR,O
AIPs may consist of both masters files and derivatives.,F,O
Is able to validate specified metadata elements,NFR,SE
See Appendix D for examples of TIFF header metadata requirements.,NFR,O
Is able to recognize required descriptive elements.,NFR,US
Recognizes and documents relations among files.,F,SE
Keeps an audit trail of all actions.,F,SE
Transfers the AIPs to Archival Storage.,F,O
Includes a storage request which provides a storage confirmation for the AIP.,F,O
Transfers the Descriptive Information to Data Management.,F,O
Sends confirmation notification when transfer to archival storage is completed.,F,SE
Identifiers are the link between Data Management and digital objects.,NFR,SE
AIPS and Descriptive Information will be put back together when objects are accessed.,F,SE
Keeps an audit trail of all actions.,F,SE
Receives AIPs from Ingest.,F,SE
Moves and adds AIPs to storage within the repository,F,O
"Generates confirmation, statistical and error reports for the AIP process.",F,US
Keeps an audit trail of all actions.,F,SE
Monitors and ensures that AIPs are not corrupted during transfers.,NFR,SE
Keeps an audit trail of all actions.,F,SE
Able to ensure that Content Information and Preservation Description Information (PDI) are not altered.,NFR,SE
"Provides disaster recovery capabilities including data backup, off-site data storage, data recovery, etc.",NFR,O
Provides AIPs to Access to generate Dissemination Information Packages (DIPs).,NFR,SE
Keeps an audit trail of all actions.,F,SE
Maintains the integrity of the Data Management database which contains both metadata and system information.,NFR,SE
Provides internal validation such as referential integrity of the contents of the database.,F,SE
Creates and maintains schema or table definitions required to support Data Management functions.,NFR,O
"Query requests are received from other functions (for example, Ingest, Access, and Administration).",F,SE
The query request may require data to be sourced from different storage locations.,F,O
Generates a result set.,F,US
Allows query requests against all metadata used to manage the repository.,F,SE
Keeps an audit trail of all actions.,F,SE
Supports the production of management information reports and statistics.,NFR,SE
"Receives report requests from other NLM Digital Repository functions (for example, Ingest, Access, Administration).",F,SE
"Has capability to generate database update confirmation, statistical and error reports to Ingest.",F,O
Reports may be specific to a time period or set of time periods.,F,US
Keeps an audit trail of all actions.,F,SE
"Receives updates from other NLM Digital Repository functions (for example, Ingest and Administration).",F,O
Allows updates to be submitted in batches.,F,MN
Allows online updates to individual records by authorized staff.,F,SE
There may be a need to coordinate updates with metadata held in other systems.,NFR,SE
Keeps an audit trail of all actions.,F,SE
Audits submissions to ensure that they meet archive/repository standards.,F,SE
Maintains configuration management of the system hardware and software.,NFR,O
"Has capability to inventory, report on and migrate the contents of the repository.",F,O
Ensures data integrity for version upgrades and format migration.,NFR,O
"Tracks negotiation status, written submission agreements and maintains schedules.",F,SE
"Able to add and edit terms of agreement, based on access of level of user.",F,US
Submission schedules may be set on a periodic or ad-hoc basis.,F,US
Submission volumes and schedules are managed and monitored.,F,SE
"Able to store terms of agreements, and use them to monitor/review/process submissions.",F,SE
Keeps an audit trail of all actions.,F,SE
Monitors functionality of the entire repository.,NFR,O
Maintains integrity of system configuration.,NFR,SE
"Audits system operations, performance and usage.",F,US
Sends requests for system information to Data Management and receives reports.,NFR,SE
Receives operational statistics from Archival Storage.,F,SE
Summarizes reports and provides repository performance information and repository holdings inventory reports to Preservation Planning.,F,SE
Sends performance information to Establish Standards and Polices.,F,US
Receives migration packages from Preservation Planning.,F,O
Develops and implements plans for system evolution.,NFR,O
"Submits change requests, procedures and tools to Archive Information Update.",F,SE
"Receives change requests, actions and tools from the Manage System Configuration function.",F,O
Requests DIPs from the Access function.,F,SE
Updates contents of DIPs and resubmits them as SIPs to Ingest.,F,SE
Schedules and performs file migrations.,F,SE
Keeps an audit trail of all actions.,F,SE
Establishes workflows and business processes for NLM Digital Repository functions.,NFR,O
"Develops multiple preservation strategies dependent upon, and specific to, the nature of digital material.",NFR,US
Receives recommendations for system enhancement and proposals for new procedures from Preservation Planning.,F,MN
Receives performance information and holdings inventory information from Manage System Configuration.,F,SE
"Provides approved standards, procedures and migration goals to Preservation Planning.",NFR,US
Develops storage management policies including migration policies.,NFR,O
Develops database administration policies.,F,O
Develops disaster recovery policies and procedures.,NFR,SE
Determines security policies including the application of error control techniques.,NFR,SE
Audits data in SIPs or AIPs to ensure that they meet specified requirements.,NFR,SE
Rejects components of information packages that do not meet requirements.,NFR,SE
Provides audit reports to the Ingest QA function.,F,SE
Keeps an audit trail of all actions.,F,SE
Maintains a record of event-driven events and compares it to the contents of the repository.,F,SE
Generates dissemination requests to Access if needed data are available.,F,SE
"Generates orders on a periodic basis (e.g., to update a database).",F,SE
Keeps an audit trail of all actions.,F,SE
Provides reports to the Develop Preservation Strategies and Standards function.,NFR,US
Provides requirements alerts to the Develop Preservation Strategies and Standards function.,NFR,US
Sends preservation requirements to Develop Packaging Designs.,F,O
The Repository System keeps an audit trail of all actions.,F,SE
NLM monitors emerging technologies in order to maintain and improve the architecture.,NFR,O
"NLM monitors information standards, including metadata standards and data interface standards.",NFR,O
The Repository System keeps an audit trail of all actions.,F,SE
Receives reports from Monitor Designated Communities.,F,US
Receives reports from Monitor Technology.,F,O
Receives performance information from Administration.,F,SE
Receives inventory reports from Administration.,F,SE
Receives summarized consumer comments from Administration.,F,SE
Sends recommendations on system evolution to Administration.,F,US
Receives external data standards from Monitor Technology.,NFR,O
Responds with advice to handle new requirements.,F,MN
Receives from Administration and reviews disaster recovery policies and procedures.,F,SE
The Repository System keeps an audit trail of all actions.,F,SE
Receives repository approved standards and migration goals from Administration. ,F,SE
"Standards include format standards, metadata standards and documentation standards.",NFR,SE
Applies these standards to preservation requirements.,NFR,L
Provides AIP and SIP template designs to Administration.,F,O
Provides customization advice and AIP/SIP review to Administration on the application of those designs.,NFR,US
Develops new AIP designs in response to migration goals.,NFR,MN
Develops prototype software in response to migration goals.,NFR,O
Develops test plans in response to migration goals.,F,US
Develops community review plans in response to migration goals.,F,US
Develops implementation plans for phasing in new AIPs in response to migration goals.,NFR,MN
Consults with other functional areas and the Designated Community.,NFR,US
The Repository System keeps an audit trail of all actions.,F,SE
Both an object and its related metadata may be embargoed in terms of public access.,NFR,SE
Access rights and conditions of use will be machine readable and actionable.,NFR,SE
Access conditions may be specific to a digital object.,NFR,SE
Allows metadata harvesting by other institutions following the OAI-PMH guidelines.,NFR,SE
Searches interface will be web-accessible and must be Section 508 compliant.,NFR,O
Provides metadata searching.,F,SE
Provides full text searching.,F,US
Provides standard boolean search functions.,F,O
Provides proximity searching.,F,US
"Provides ""more like this"" functionality.",NFR,O
Provides sound/audio searching.,F,O
Provides federated searching of different repository sites.,F,SE
Search result integration with library holdings (like current LinkOut function).,F,O
Provides quick response time.,NFR,PE
"Supports use of multiple languages and non-Roman scripts in search, retrieval and display.",NFR,US
Provides access to all versions of digital objects in the repository.,NFR,SE
Provides system settings and user-defined settings for search functions.,NFR,SE
