Requirement,Prediction,Type
"Whenever a power-on reset occurs, System Initialization shall [SRS194] perform the following functions.  ",NFR,PE
 System Initialization shall [SRS014] initiate the watchdog timer.,F,PE
The scheduler shall [SRS196] support up to 20 tasks per rate group.,NFR,SC
The scheduler shall [SRS197] support up to 3 rate groups per vehicle mode.,NFR,SC
The scheduler shall [SRS195] support up to 5 vehicle modes.,NFR,O
The FTSS software shall [SRS002] provide the identical services in all vehicle modes.,NFR,O
The scheduler shall [SRS021] process vehicle mode changes during minor frame 49.,F,PE
The scheduler shall [SRS025] keep a minor frame count from 0 to 49.,NFR,PE
"The scheduler shall [SRS028] detect 50 Hz, 10 Hz and 1 Hz rate group over-runs.",NFR,PE
"Communication services shall [SRS047] provide ""synchronous"" message passing services in the form of ""message queues"".",NFR,PE
"Communication services shall [SRS049] provide the capability to ""broadcast"" messages to all virtual groups.",NFR,SE
Communication services shall [SRS052] route messages to the proper virtual group(s) and socket.,NFR,O
"Communication services shall [SRS063] provide an API for ""message queue"" communication.",NFR,O
"Communication services shall [SRS068] provide an API for ""pipe"" communication.",NFR,O
Continuous BIT shall [SRS093] execute on the FCP virtual group.,NFR,PE
Continuous BIT shall [SRS096] diagnose the faulty FCR within 1 second after detecting a failure.,NFR,PE
RAM scrub shall [SRS275] not scrub the area used for telemetry data.,NFR,SE
"While synchronization is being attempted, the FCP virtual group shall [SRS123] maintain synchronous operations.",NFR,PE
"During alignment, Redundancy Management shall [SRS126] update MET (and, by extension, SEP",NFR,MN
FTSS shall [SRS200] initialize congruent initialized memory locations from non-volatile memory.,F,O
The FCP watchdog timer shall [SRS293] remain active during memory re-alignment.,NFR,PE
The Mission Elapsed Time shall [SRS218] have a drift rate of at worst 50 PPM.,NFR,PE
The Mission Elapsed Time shall [SRS144] not rollover for 30 days.,NFR,PE
The Separation Elapsed Time shall [SRS145] not rollover for 1 day.,NFR,PE
The Separation Elapsed Time shall [SRS219] have a drift rate of at worst 50 PPM.,NFR,PE
The utility timer shall [SRS247] have an accuracy equal to or better than 50 PPM.,NFR,PE
The utility timer shall [SRS256] have a resolution equal to or better than 60.6 nanoseconds.,NFR,PE
Support Services shall [SRS156] provide an API call to provide the current command data.,NFR,O
The FTSS shall [SRS158] execute on the Radstone Power PC 604R.,NFR,O
The FTSS software shall [SRS159] be written in the C programming language.,NFR,O
FTSS shall [SRS160] use the VxWorks Operating System version 5.4.,NFR,O
FTSS object modules linked to the application on the four FCPs shall [SRS166] be identical.,NFR,O
FTSS shall [SRS227] route messages to the proper virtual group(s) and socket.,NFR,O
"a)               notification of invalid or out of range application specified parameters on all operations,",F,SE
"b)               pipe ""open"" of end point ( SENDER/RECEIVER ) by non-assigned virtual group,",F,PE
"c)                notification upon receiving a message that the previous message was overwritten,",F,FT
"d)               connection/transmission error,",F,FT
"e)               FTSS unable to create/open pipe, and",F,FT
notification that a received message was truncated to the buffer size provided,F,PE
No precedence or criticality of requirements has been identified,NFR,SE
FTSS deliveries shall [SRS252] be made using CD ROM media.,NFR,O
The contractor shall (3.1.3) develop a preliminary design for the FTPP Architecture.,NFR,O
The FTPP system shall not (3.1.5) solely exceed these timing requirement budgets.,NFR,A
All healthy FCRs shall (3.1.22) be incorporated as they become available.,NFR,US
The FCC hardware shall (3.2.1.1) use 3-digit binary numbers as outlined above for both addresses.,NFR,LF
The CT shall (3.2.2.2.2) also contain time-outs and vote masks.,NFR,PE
The NE shall (3.2.2.3.1) be configured to automatically enter ISYNC microcode following power on.,NFR,O
 A time-out period shall (3.2.2.3.3) be started when 3 NEs have joined in.,F,PE
It shall (3.2.2.4.2) stay in TNR mode indefinitely until a successful TNR exchange is observed.,NFR,PE
The Configuration Table shall (3.2.2.4.7) be exchanged and voted into the newly recovered NE.,F,FT
Time-outs in the scoreboard shall (3.2.2.4.8) be aligned by resetting all time-outs.,F,PE
The NE shall (3.2.2.5.3) provide the capability to perform a voted VME bus reset.,NFR,PE
The timestamps shall (3.2.2.7.2) be congruent across all members of the destination FCP.,NFR,PE
The timestamp shall (3.2.2.7.4) be a 32-bit quantity that indicates relative time within the FCC.,NFR,PE
The resolution of the timestamp shall (3.2.2.7.5) be 1.28 microseconds.,NFR,PE
The timestamp counter shall (3.2.2.7.7) be initialized to zero during ISYNC.,NFR,PE
"The counter shall (3.2.2.7.8) increase monotonically after that, except during TNR.",NFR,PE
The timestamps shall (3.2.2.7.9) be frozen during TNR until the realignment is complete.,NFR,A
The prototype NE shall (3.2.3.1.1.1) reside on a single commercial grade 6U VME board.,NFR,O
The prototype NE shall (3.2.3.1.1.2) dissipate no more than 35 Watts.,NFR,PE
The storage temperature range shall (3.2.3.1.1.4) be from - 30º to + 60º C.,NFR,SC
The prototype NEs shall (3.2.3.1.1.5) use convection cooling.,NFR,O
The prototype NE shall (3.2.3.1.1.6) be fabricated using commercial grade components.,NFR,O
"Each flight NE shall (3.2.3.1.2.1) reside on a single ruggedized, wedge-locked, conduction-cooled 6U VME board.",NFR,O
The conduction-cooled boards’ mechanical core shall (3.2.3.1.2.3) be designed in accordance with IEEE 1101.2.,NFR,O
Power de-coupling mechanisms shall (3.2.3.1.2.4) be designed into the NE.,NFR,O
Connector P1 pins 1 and 32 of row d shall (3.2.3.1.2.8) be connected to +5V.,NFR,O
The inter-NE communications shall (3.2.3.1.2.9) be through fiber.,NFR,SC
Each flight NE shall (3.2.3.1.2.11) dissipate no more than 35 Watts.,NFR,PE
Each flight NE shall (3.2.3.1.2.12) be conduction-cooled.,NFR,O
Flight hardware shall (3.2.3.1.2.13) be fabricated using radiation-hardened and/or radiation tolerant components.,NFR,O
All radiation test results shall (3.2.3.1.3.3.7) be characterized and documented.,NFR,US
"The useful operating service life shall (3.2.3.1.3.10.2.1) be a minimum of 30,000 hours. ",NFR,SC
The flight NE storage life shall (3.2.3.1.3.10.3.1) be 5 years or better.  ,NFR,PE
The X-38 NE shall (3.2.3.2.1) be able to communicate with 4 other NEs.,NFR,O
The NE shall (3.2.3.2.2) support at least two physical processors per FCR. ,NFR,O
The NE shall (3.2.3.2.3) support at least 6 virtual groups. ,NFR,O
The contractor shall (3.2.4.1) maintain a product identification and tracking system.,NFR,SE
The surviving triplex shall (3.3.2.5) attempt to sync with the failed FCP.,NFR,PE
Start Up shall (3.3.2.12) synchronize its FCP with other operational FCPs.,NFR,PE
Start Up shall (3.3.2.13) make their state congruent.,F,PE
It shall (3.3.2.17) support normal synchronization following power on or reset,NFR,PE
It shall (3.3.2.17) support normal synchronization following power on or reset.,NFR,PE
Start Up shall (3.3.2.19) test to ensure that all four FCPs are synchronized.,NFR,PE
Unsynchronized processors shall (3.3.2.20) be excluded from the FCP configuration.,NFR,O
During start up the FCP watchdog timer shall (3.3.2.45) be active.,NFR,PE
System Initialization shall (3.3.2.21) initiate execution of FTSS and X-38 application code.,NFR,O
The Scheduler shall (3.3.4.1) support three rate groups:,F,SC
Process scheduling shall (3.3.4.4) only be performed at certain controlled locations (synchronization points).,NFR,PE
Higher iteration tasks shall (3.3.4.9) have higher priority over lower iteration tasks.,NFR,PE
The Scheduler shall (3.3.4.13) attempt recovery from a frame overrun according to the following policy:,F,PE
The FDIR shall (3.3.5.4) execute CBIT during all operational phases.,NFR,PE
The CBIT shall (3.3.5.8) also arm and reset the hardware watchdog timer.,F,PE
The FDIR shall (3.3.5.13) be able to discriminate between permanent and non-permanent faults.,NFR,LF
"Additionally, FDIR shall (3.3.5.20) reinitialize and integrate an FCP if permitted by the Vehicle/Mission Manager.",NFR,O
The FCP watchdog timer shall (3.3.5.38) remain active during memory re-alignment.,NFR,PE
Reintegration of an FCP shall (3.3.5.21) be completed in at most 1.5 minutes.,NFR,PE
It shall (3.3.5.22) be possible to perform voted VMEbus resets via the NEs.,NFR,O
"For a permanent NE failure, FDIR shall (3.3.5.23) mask the failed NE.",NFR,PE
"For a transient NE failure, FDIR shall (3.3.5.24) mask the failed NE.",NFR,PE
"Additionally, FDIR shall (3.3.5.25) reinitialize and integrate the NE.",NFR,O
Access to the transmit queues shall (3.3.6.8) be controlled within the communication service primitives .,NFR,O
Broadcast primitives shall (3.3.6.10) not be available on ICPs.,NFR,O
"The Memory Management software shall (3.3.8.2) periodically ""scrub"" volatile and read/write memory in the FCP.",NFR,O
It shall (3.3.8.16) not be necessary to scrub that area used to store telemetry data.,NFR,SE
Memory scrubbing shall (3.3.8.5) be executed without interfering with normal execution of applications tasks.,NFR,O
The memory scrubbing software shall (3.3.8.6) be capable of scrubbing 10 Megabytes in 8 minutes.,NFR,PE
The re-align function shall (3.3.8.13) be allowed only when permitted by the Vehicle/Mission Manager.,NFR,PE
Time Management shall (3.3.10.4) provide MET.,NFR,PE
The MET shall (3.3.10.5) be initialized to zero at the first 50 Hz frame.,NFR,PE
The MET shall (3.3.10.9) be congruent across all FCP members.,NFR,L
Time Management shall (3.3.10.11) provide SEP.,NFR,PE
The SEP shall (3.3.10.16) be congruent across all FCP members.,NFR,L
"The Time Services, if dealing with the year designation, shall (3.3.10.21) be Year 2000-compliant.",NFR,L
Time Management shall (3.3.10.23) provide a utility timer.,NFR,PE
The utility timer shall (3.3.10.24) be available via an FTSS API call(s).,NFR,PE
The utility timer shall (3.3.10.25) have a resolution of 60.6 nanoseconds.,NFR,PE
The utility timer shall (3.3.10.26) have an accuracy of at most 50 PPM.,NFR,PE
Load modules of the four FCPs shall (3.3.11.1) be identical.,NFR,O
"Control flow of the four FCPs shall (3.3.11.2) be similar, if not identical.",NFR,PE
A subset of FTSS shall (3.3.11.7) reside on the ICP.,NFR,O
An application programming interface shall (3.3.13.3) be documented in a FTSS API document.,NFR,O
The interrupts across all channels shall (3.4.1.2.6) have a skew no greater than 330 microseconds.,NFR,PE
The FTSS software shall (3.4.2.4) move this buffer to the MPCC/CTC over the VMEbus.,NFR,O
Draper shall (3.5.5) not violate the 100 microseconds requirement.,NFR,PE
"The states of operation of the TCS shall include Startup, Operation, and Shutdown. [SSS014]",NFR,O
In the Normal Operations Mode the TCS shall support the following functions: [SSS037],NFR,O
The Operations State modes shall not exist concurrently. [SSS033],NFR,PE
There shall be no modes of operation in the shutdown state. [SSS048],NFR,O
"4) targeting, and 5) C4I system interface.",NFR,O
There shall be no modes of operation in the shutdown state. [SSS048],NFR,O
"4) targeting, and 5) C4I system interface.",NFR,O
The TCS shall provide the capability to print waypoint data in alphanumeric format. [SSS553],NFR,O
fuel. [SSS076],NFR,O
The TCS shall provide the capability to display waypoint data in alphanumeric format. [SSS552],NFR,O
The TCS shall provide the operator with a clearly indicated map scale. [SSS535],F,LF
AV specific components used to perform ground based closed loop command and control functions for,NFR,O
TCS shall be initialized upon operator selection of a specific AV. [SSS109],NFR,LF
AV telemetry data shall be available to support other TCS functions as required. [SSS119],NFR,O
The TCS shall provide interactive displays necessary to command the flight of an AV. [SSS127],NFR,LF
"As an objective, the TCS shall support an automatic launch and recovery system. [SSS135]",NFR,O
TCS shall display a LOL timer to the operator initiating a LOL onset. [SSS536],F,PE
The TCS will have the capability to control and monitor the AV payload(s). [SSS147],NFR,O
The TCS shall provide override of payload automated as well as preprogrammed inputs. [SSS154],NFR,PE
TCS shall provide the capability to monitor payload adherence to the uplinked mission plan. [SSS155],NFR,PE
The TCS shall support a LOS data link and SATCOM data link capability. [SSS164],NFR,O
The operator shall be able to manually override the automatic frequency selection if desired. [SSS176],NFR,PE
The TCS operator shall be able to select the content of the overlay information. [SSS196],NFR,US
"The image enhancement capability shall include contrast, brightness, edge enhancement, and sharpness. [SSS201]",NFR,LF
"The TCS will have the functionality to determine target coordinates, and estimate target coordinate  accuracy.",F,US
and associate the error estimate with the appropriate target. [SSS208],F,PE
"Where applicable, TCS data burst messages shall comply with Variable Message Formats. [SSS215]",NFR,L
TCS shall be capable of executing AV maintenance software and displaying appropriate status results. [SSS245],NFR,O
TCS shall be capable of executing payload maintenance software and displaying appropriate status results. [SSS246],NFR,O
"As a minimum, TCS shall provide Startup FD/L for the operator workstation. [SSS250]",NFR,O
The TCS will interface with external systems to conduct mission coordination and operations.,NFR,O
The TCS shall provide the system functionality necessary to interface with the data terminal. [SSS287],NFR,O
The TCS shall provide external interfaces to launch and recovery systems. [SSS289],NFR,O
The TCS shall provide external interfaces to launch and recovery systems. [SSS289],NFR,O
The TCS shall provide an interface between the TCS and external data storage systems. [SSS317],NFR,O
The TCS shall support a concurrent uplink and downlink capability. [SSS325],NFR,SC
The RTP interface shall support distributed processing capability. [SSS328],NFR,O
The TCS shall incorporate an intercom system that provides verbal communicate in the situation where,NFR,O
there are multiple operators. [SSS331],NFR,LF
The intercom system shall be compatible with service specific voice communication systems. [SSS332],NFR,O
The TCS will provide an interface between the TCS and a video cassette recorder.,NFR,O
The TCS shall provide a tape drive for storage and retrieval of TCS data. [SSS342],NFR,O
The TCS shall be able to access data storage devices. [SSS339],NFR,O
The TCS shall provide a CD drive for the retrieval of TCS data. [SSS341],NFR,O
The TCS shall be able to access data storage devices. [SSS339],NFR,O
The TCS shall provide a CD drive for the retrieval of TCS data. [SSS341],NFR,O
The TCS shall provide a tape drive for storage and retrieval of TCS data. [SSS342],NFR,O
The TCS shall have an interface to an uninterruptible power supply. [SSS344],NFR,O
The TCS shall monitor the uplink and downlink to each UAV under its control. [SSS355],NFR,SE
"interfaces, to including the air vehicles, payloads, and C4I systems. [SSS364]",NFR,O
"For each OUTRIDER system, the TCS shall provide full independent computer redundancy. [SSS380]",NFR,O
The TCS’s operating system and executable software shall be re-programmable without hardware disassembly. [SSS401],NFR,O
"This section not applicable, therefore tailored out.",F,L
Testability shall be considered in the design and development of the TCS. [SSS421],NFR,O
The system shall be functionally and physically partitioned to allow for efficient fault isolation. [SSS422],NFR,O
Test points and data paths shall be defined to support efficient fault isolation. [SSS424],NFR,O
"This section not applicable, therefore tailored out.",F,L
flash frequencies will follow MIL-STD 1472 guidelines. [SSS449],NFR,LF
All TCS warning messages and HCI actions shall be archived for later review. [SSS456],NFR,FT
Display jitter and flicker shall not be perceptible by the operator. [SSS459],NFR,PE
modified. [SSS467],NFR,O
The TCS shall provide for multi-level information display tailoring by the operator. [SSS470],NFR,LF
"The TCS shall minimize alphanumeric data display in favor of graphic, pictorial information display [SSS474]",NFR,LF
[SSS482],NFR,O
The TCS HCI shall provide for a rapid means to cancel aural warnings. [SSS484],NFR,PE
The training capability for performance of TCS functions shall include primary mission (flight,F,MN
Training shall be adequate to maintain operator and maintainer skills and proficiencies. [SSS501],NFR,MN
TCS shall record operator and maintainer actions for self assessment and performance enhancement. [SSS502],NFR,US
A TCS support and fielding package shall be developed and available for operational testing. [SSS510],NFR,O
The TCS shall be ground transportable. [SSS521],NFR,O
The TCS shall be air transportable by helicopter (CH-47/CH-53D) and C-130 drive-on/drive-off capable. [SSS522],NFR,O
The TCS shall be sea transportable. [SSS523],NFR,O
The TCS shall be rail transportable. [SSS524],NFR,O
"This section not applicable, therefore tailored out.",F,L
The TCS software shall be Defense Information Infrastructure/Common Operating Environment compliant.,NFR,O
The system shall refresh the display every 60 seconds.,NFR,PE
The product shall be intuitive and self-explanatory.,NFR,US
The product shall respond fast to keep up-to-date data in the display.,NFR,PE
The system shall display Events in a vertical table by time.,F,LF
The system shall display the Events in a graph by time.,F,LF
All actions that modify an existing dispute case must be recorded in the case history.,NFR,L
The Disputes System must be accessible by both internal and external users.,F,O
The Disputes System shall provide view access capability for authorized users of the application.,F,SE
The Disputes System shall provide update access capability for authorized users of the application.,F,SE
The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,F,A
The Disputes System must provide the ability to view existing dispute cases.,F,O
The product must support Internet Explorer 5.5 and above.,NFR,O
The product must support Mozilla Firefox 1.0 and above.,NFR,O
The product shall run on the existing hardware for all environments.,NFR,O
The product shall adhere to the corporate Architecture guidelines,NFR,O
The product shall comply with corporate User Interface Guidelines,NFR,LF
The product shall comply with corporate color scheme,NFR,LF
The appearance of the product shall appear professional,NFR,LF
The software product is expected to run on Windows or Linux platforms.,NFR,O
The average number of recycled parts records per day shall be 50 000.,NFR,SC
The product shall interface with the ChoiceParts system once per day at approximately 1,NFR,O
The maintenance of the product will fall within the established corporate maintenance windows.,NFR,O
The product shall be supported using the corporate support center.,NFR,O
One insurance company shall not be able to view another insurance companys claim data.,NFR,SE
The product shall free of computer viruses.,NFR,SE
The system shall prevent malicious attacks including denial of service.,NFR,SE
The product must comply with Sarbanes-Oxley.,NFR,L
The product shall comply with the estimatics laws relating to recycled parts usage.,NFR,L
The product shall comply with insurance regulations regarding claims processing.,NFR,L
The vehicle data shall include vehicle year make and model,F,LF
The vehicle location shall include street address city state and zipcode,F,LF
The search radius shall be between 1 and 30 miles,F,PE
The adjuster shall enter the preferred repair facility on the estimate assignment.,F,FT
The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,F,US
The preferred repair facility shall be returned to the user.,F,FT
The estimator shall search for available recycled parts using damaged vehicle parts information.,F,US
The estimator shall search for available recycled parts using a list of preferred parts suppliers.,F,US
The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,F,US
The system shall retain the available recycled parts and suppliers returned from the search.,F,O
The available recycled parts information and their suppliers shall be returned to the user.,F,FT
The estimator shall apply selected recycled parts to the collision estimate.,F,US
The adjuster shall review the collision estimate.,F,PE
The adjuster shall request a recycled parts audit of the collision estimate.,F,FT
The recycled parts search results provided to the estimator shall be retrieved by the system.,F,O
The audit report shall include the total number of recycled parts used in the estimate.,F,SC
The audit report shall include the percentage of available recycled parts used in the estimate,F,SE
The audit report shall be displayed to the user.,F,US
The audit report shall be available to other adjusters at later points in time.,NFR,A
The user shall select to view the preferred repair facility ratings.,F,US
The current repair facility ratings shall be displayed to the user.,F,US
The user shall enter new ratings based on the audit report,F,FT
The ratings shall be from a scale of 1-10,NFR,US
The user shall select to save the preferred repair facility ratings.,F,US
The preferred repair facility ratings shall be saved by the system.,F,FT
The product shall have a conservative and professional appearance.,NFR,LF
The product shall allow for customization of start page and views preferences.,NFR,US
The product shall use a standard navigation menu familiar to most web users.,NFR,US
The product shall allow for intuitive searching of available conference rooms.,F,US
The product shall conform to the Americans with Disabilities Act.,NFR,US
Aside from server failure the software product shall achieve 99.99% up time.,NFR,A
The product shall be used in office environments.,NFR,O
The product shall be available for distribution as a packaged CD.,NFR,O
The product shall be able to be installed in any operating environment within 2 days.,NFR,O
The product must be developed with the J2SE/J2EE programming language libraries,NFR,O
The product shall record meeting entries.,F,US
The product will notify employees of meeting invitations.,F,US
The product shall have the ability to send meeting reminders to employees.,F,US
The product shall assign the organizers contact information to each meeting they create.,F,US
The product will record meeting acknowledgements.,F,US
The product shall store new conference rooms.,F,SC
The product shall update existing conference rooms.,F,MN
The product will be able to delete conference rooms.,F,SE
The product shall be able to store new room equipment.,F,SC
The product will update existing room equipment.,F,MN
The product shall be able to delete room equipment.,F,SE
The product shall allow an organizer to invite other employees to meetings.,F,US
The product shall record the transportation status of equipment reserved.,F,SE
The product shall display a map of the company building showing conference room locations.,F,LF
The product shall record updated meeting agendas.,F,A
The product shall send a meeting confirmation to the meeting organizer.,F,US
The product shall display room equipment according to search parameters.,F,US
The product shall display conference rooms according to search parameters.,F,US
The product shall record different meeting types.,F,LF
The product shall record all the equipment that has been reserved.,F,O
The product shall notify building personnel of equipment transport requests.,F,SE
The product will allow priviledged users to view meeting schedules in multiple reporting views.,F,US
The product shall have a customizable Look and Feel.,NFR,LF
The product shall have an intuitive user interface.,F,LF
The product will display an available status for unreserved conference rooms.,F,SE
The System shall utilize currently owned computer equipment.,NFR,O
The System shall be able to automatically backup business data and restore them on demand.,NFR,O
The System shall not require additional third party licenses resulting in royalty fees.,NFR,O
The System shall allow generation of Inventory Quantity Adjustment documents on demand.,F,O
The System shall allow entering storing and modifying product formulas.,F,O
Product formulas shall allow use of semi-products which have own formulas.,F,SE
Product formula ingredients shall allow defining substitutionary ingredients.,F,US
Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem.,F,US
Formula substitutionary ingredients shall be kept in persisted order,F,US
Product shall allow entering storing and modifying product menus used by POS terminals.,F,O
PME Subsystem shall allow for a product to exist in more than one submenu,F,O
System shall let the administrator add/remove categories on the website in under 5 minutes.,NFR,PE
System shall let Izogn Manager access sales and usage statistics in under 2 minutes.,NFR,PE
The website design should be modern clean and concise.,NFR,LF
The product shall retain the customer�s buying preferences and information.,NFR,US
The website will use standard Internet conventions when interacting with the user.,NFR,US
The website shall be available for use 24 hours per day 365 days per year.,NFR,A
The website shall achieve 99.5% up time.,NFR,A
All movies shall be streamed on demand at any time of the day.,NFR,A
The website shall continue to operate if the streaming server goes down.,NFR,FT
The website shall continue to operate if the payment gateway goes down.,NFR,FT
The streaming server will support 50 simultaneous streaming connections.,NFR,SC
The server will support a maximum of 1 000 simultaneous users.,NFR,SC
The website shall be capable of supporting 100 000 customers.,NFR,SC
All aspects of the website shall be accessed by a web browser over the Internet.,NFR,O
The same hardware supporting the current website will be used to support the new system.,NFR,O
We must be able to interface with the following browsers,NFR,O
Website must interface with the CyberSource API to process credit card transactions.,NFR,O
Website must be fully operational with MSN TV2.,NFR,MN
Movies shall be encoded and streamed via Windows Media Player 9.0.,NFR,O
Movies shall be encoded for 56k and 256k streams.,NFR,O
Promotional updates to the website should take a day to update.,NFR,MN
Izogn Administrator must be able to add new products to the website within 2 minutes.,NFR,PE
The website will provide a help section with answers and solutions to common problems.,NFR,US
Only registered customers can purchase streaming movies.,F,SE
Only authorized personnel can access customer records in the database.,NFR,SE
Only administrators can activate a pre-paid card.,NFR,SE
Only authorized personnel can access sales information.,NFR,SE
The website shall prevent its data from being corrupted when incorrect data is entered in.,NFR,SE
The website shall protect itself from intentional abuse and notify the administrator at all occurrences.,NFR,SE
The system shall notify customers of changes to its information policy.,NFR,SE
The system shall reveal private information only in compliance with the organization�s information policy.,NFR,SE
All customer information will be stored on a secure database accessible only to authorized personnel.,NFR,SE
All credit card information will be encrypted in the database.,NFR,SE
The streaming server will have anti-virus software to prevent infection of malicious viruses.,NFR,SE
The website should cater to all tribes in Nigeria.,NFR,LF
The website shall not be offensive to religious or ethnic groups.,NFR,LF
The website should appeal to all Africans not only Nigerians.,NFR,LF
The website should use Flash to provide animation on the home page.,NFR,O
The website will comply with W3C standards.,NFR,L
The PHP code will comply with PEAR standards.,NFR,L
The website will allow customers to search for movies by title actor or director.,F,US
Website shall allow customers to browse movies by categories entered in by izogn administrator.,F,US
Website shall allow customers to view reviews of selected movies by other customers.,F,US
Website shall allow customers to add their own movie review for a selected movie.,F,US
Website shall allow the Izogn administrator to approve a review posted by a customer.,F,SE
System will allow customers to pay for a streaming movie with a pre-paid card.,F,SE
Pre-paid cards shall be distributed via email or via a printed paper card.,F,SE
Only registered customers can purchase streaming movies.,F,SE
All streaming movie sales will be logged in the database and accessible by the administrator.,F,SE
Daily usage statistics should be logged and accessible by the administrator.,F,SE
The owner shall have free access to all of the streaming movies.,F,SE
The lead washing process will operate within the established physical web service structure.,NFR,O
Defect reports will be available to technical units on a 24x7 basis.,NFR,A
Washing parameters will be updated during scheduled maintenance hours.,F,MN
The vendor will verify the invalid lead.,F,FT
Vendor will submit a credit validation record to be applied to the enterprise billing system.,F,US
The leads washing functionality will insert all leads captured by the web service.,F,SE
The leads washing functionality will verify the users authentication and rights to make parameter updates.,F,SE
The leads washing functionality will store any potential lead duplicates returned by the enterprise system.,F,O
The product shall simulate the look of ships at sea.,NFR,LF
The product shall display the grids within a circle as a view from a periscope.,NFR,LF
When a ship is sunk the product shall simulate the sound of a sinking ship.,NFR,LF
The product shall be available 24 hours per day seven days per week.,NFR,A
The product shall able to handle a large number of games simultaneously.,NFR,PE
The product shall maintain a list of players.,F,US
The product shall allow a user to identify himself or herself as a player.,F,US
The product shall make inactive players unavailable for selection from the list of players.,F,SE
Once a game is initiated the product shall display a defensive grid to each player,F,LF
Once a game is initiated the product shall display an offensive grid to each player.,F,LF
The product shall allow a player to position ships horizontally on their grid.,F,LF
The product shall allow the player to position ships vertically on their grid.,F,LF
The product shall allow the player to position ships diagonally on their grid,F,LF
The product shall prevent the player from overlapping ships on their grid.,F,PE
For each turn the product shall allow the offensive player to define a shot.,F,US
The product shall continue to assign turns until the game is ended.,F,US
The system must be available for use between 7,NFR,A
The product shall be available 99% of the time. Rationale,NFR,A
The product shall be robust.The product shall have fault avoidance based on standards adoption.,NFR,FT
The product shall have security.The product shall provide authentication and authorization.,NFR,SE
The Commissioner will be the only authorized user per league to adjust league settings.,NFR,SE
The application shall have a downtime of at most 10 minutes per year.,NFR,A
The application shall run on a web application server.,NFR,O
A primary database will be used to store cached data for active users.,NFR,O
The system shall achieve 95% up time.,NFR,A
The system shall have a professional appearance,NFR,LF
The product shall have a consistent color scheme and fonts.,NFR,LF
The system shall be used by realtors with no training.,NFR,US
The system shall be intuitive and self explanatory.,NFR,US
The product shall be easy for a realtor to learn.,NFR,US
The product shall use symbols and words that are naturally understandable by the realtor community.,NFR,US
The product shall produce search results in an acceptable time,NFR,PE
The product shall generate a CMA report in an acceptable time.,NFR,PE
The product shall synchronize contacts and appointments in an acceptable time.,NFR,PE
The product shall synchronize with the office system every hour.,NFR,PE
The product shall be available for use 24 hours per day 365 days per year,NFR,A
Out of 1000 accesses to the system the system is available 999 times.,NFR,A
