Requirement,Prediction,Type
load module four fcs shall identical,NFR,O
arena numbering plan shall standardized allow interoperability shall implemented private numbering plan within asmr network,NFR,O
system use http communication protocol ie http encrypted secure socket layer,NFR,O
etc shall compatible existing national system listed cc tsi interfere national system interfered national system,NFR,O
connector p1 pin 1 32 row shall connected 5v,NFR,O
system supporting support monitoring followup activity required tracking status case exposed individual,NFR,O
command read capability fcp shall read command data received ctc via ccnucc,NFR,O
n shall support least 6 virtual group,NFR,O
tc shall incorporate intercom system provides verbal communicate situation,NFR,O
providing site map separate navigation overview site map provided application showing structure site overview form,NFR,O
contractor shall develop preliminary design ftp architecture,NFR,O
direct mode shall operate simplex mode radio link us single frequency alternate transmission reception,NFR,O
n shall support class 1 class 2 bandwidth least 1 byte,NFR,O
number general constraint placed gemini software,NFR,O
shall possible user store ardor overwrite number detail radio computer interface,NFR,O
interface requirement specification defined tc isaf tc 211,NFR,O
support solution accessible user within application also outside application browser interface,NFR,O
system must support multiple type communication service remote access,NFR,O
tc shall provide external interface launch recovery system,NFR,O
tc hardware shall mounted well ruggedized withstand inter intra theater movement,NFR,O
operational radio shall operate standard gsm terminal supplying mobile service defined section 4,NFR,O
equipment default operation common access channel direct mode channel 1 entry direct mode,NFR,O
etc train borne equipment shall capable isolated,NFR,O
tc software flexibility expandability shall provided use coe use standardized software development practice,NFR,O
system shall support group voice call,NFR,O
system support selective encryption stored data,NFR,O
operating location dependent addressing manual action shall required update system mobile move location,NFR,O
dbms pm data storage must available provide enough user licensee ensure full functionality pm,NFR,O
arena mobile equipment shall capable operated board rolling stock electrical,NFR,O
system provide role based control functionality within system,NFR,O
minimum tc shall provide startup fdp operator workstation,NFR,O
tc shall port outputting data imagery internal hard copy printer,NFR,O
tc shall permit operator control payload using method supported payload installed selected av,NFR,O
system shall used within specification defined computer used program administrator nursing staff member,NFR,O
ftse shall route message proper virtual group socket,NFR,O
targeting 5 c4i system interface,NFR,O
section identifies arena application may used operational radio functionality provided operational radio detailed,NFR,O
flight n shall reside single ruggedized wedge locked conduction cooled 6u vme board,NFR,O
section function provided general purpose radio described,NFR,O
system shall support group voice call,NFR,O
system based gsm architecture summarized figure 13,NFR,O
communication service shall provide message queue communication mechanism guarantee message delivery sending receiving task,NFR,O
tc support fielding package shall developed available operational testing,NFR,O
operational radio used shunting shall able switched following two operating mode maintenance function,NFR,O
shall objective capability integrated operated tactical command control aircraft,NFR,O
system shall interface student master server,NFR,O
possible maintenance function enable disable emergency call function,NFR,O
tc shall provide capability print waypoint data alphanumeric format,NFR,O
additionally fair shall reinitialize integrate n,NFR,O
n syndrome shall located second longford input information block buffer cell,NFR,O
shall possible change battery without losing data stored radio,NFR,O
system shall continue depend upon use single sql server 2008 database,NFR,O
network shall operate subband combination subbands rsm band defined,NFR,O
website must interface cybersource api process credit card transaction,NFR,O
system shall mdi form allows viewing graph data table,NFR,O
tc transport storage container shall reusable enable operator set equipment within established timeline word,NFR,O
software product expected run window linux platform,NFR,O
scheduler shall support 5 vehicle mode,NFR,O
tacoma segment shall provide external interface communication medium indicated table 31041,NFR,O
iv pushtotalk function shall provided use group call,NFR,O
hardware constraint covered individual chapter software design description,NFR,O
use air conjunction sim application toolkit update sim card home network recommended see detail,NFR,O
test point shall made available p2 connector examining operational status n,NFR,O
cab radio support direct mode communication defined section 15,NFR,O
shall possible change battery without losing data stored radio,NFR,O
telemetry capability shall capable transferring 12800 byte within 10 hz frame fcp,NFR,O
abbreviated dialling facility shall supported,NFR,O
intercom system shall compatible service specific voice communication system,NFR,O
product installation upgrade shall handled middleware technology team within established launch time frame,NFR,O
police regarding data synchronization defined support multiple deployment option discussed section 21 system architecture document,NFR,O
internal within ioc implementation database based epic implementation within host workstation tbd,NFR,O
cs operating system executable software shall reprogrammable without hardware disassembly,NFR,O
note adaptive multirate codec suitable voice group call voice broadcast call,NFR,O
development team shall perform weekly integration system deploy system update staging environment,NFR,O
call related function shall possible handset hook,NFR,O
functional number deregistration facility shall supported arena user equipment,NFR,O
onboard shall capable sending train data trackside confirmation driver entering rbc area,NFR,O
standard data interface provided allow computer connected radio,NFR,O
interface shall allow information data server made available component tc,NFR,O
facility shall provided support list stored name number minimum 100 entry,NFR,O
configuration management protocol personnel identified support multiple deployment option,NFR,O
product must support mozilla firefox 10,NFR,O
etc equipped traction unit shall capable moved shunting without train data track data movement authority,NFR,O
switched radio shall retain setting number stored time radio switched select language,NFR,O
tc shall provide external interface launch recovery system,NFR,O
user workstation shall meet minimum hardware requirement prior implementation minimum hard disk space,NFR,O
support required range data communication ground mobile user application may include,NFR,O
thomas system shall control heating cooling unit designated part thomas system,NFR,O
radio shall support least ten different language adjust loudspeaker volume,NFR,O
secondary database used store historical statistic data,NFR,O
system developed deployed 3tier datacenter architecture,NFR,O
interaction protocol web server mediator defined,NFR,O
targeting 5 c4i system interface,NFR,O
tc shall capability load map onto display zoom scroll print clear map map display,NFR,O
radio shall support least ten different language adjust loudspeaker volume,NFR,O
additional information may also provided available external system,NFR,O
cab radio required national railway support handheld portable cab radio shall,NFR,O
moreover driver may provided handheld portable allow communication whilst driver outside train,NFR,O
application programming interface shall documented ftse api document,NFR,O
run microsoft window xp,NFR,O
memory scrubbing shall executed without interfering normal execution application task,NFR,O
cab radio shall support shunting mode communication defined section 14,NFR,O
mmi shall suitable use day night,NFR,O
implementation cut must take account requirement interoperability,NFR,O
addition individual railway may requirement interface national control command system,NFR,O
weight general purpose radio including battery exceed 250g electrical,NFR,O
product function alongside server software operating system java runtime installed,NFR,O
tc shall capable automatically controlling transmitter receiver mode selected data terminal,NFR,O
ftse software shall configure fcp act redstone bit master exception icp neft master,NFR,O
ftp shall consist five n one fcc one neft ftse software,NFR,O
ftse delivery shall made using cd room medium,NFR,O
ftse software work operating system together shall take 3 megabyte room loaded fcp icp memory,NFR,O
tc shall provide interface respective uav program provided data link command control uav data,NFR,O
goal requirement interface provide support,NFR,O
system shall support multiparty voice communication six different party,NFR,O
useful operating life shall determined analysis presented critical design review,NFR,O
server work apache tomcat mysql database,NFR,O
train shall supervised static dynamic train speed profile,NFR,O
shall possible implement one etc application level line,NFR,O
rtp interface requirement specification defined data server tc 238,NFR,O
default loudspeaker volume shall set predetermined level suitable operating environment stored within system,NFR,O
interface may provided cab radio system,NFR,O
system able run debug mode,NFR,O
number constraint gemini 8m telescope computer hardware although constraint may appear redundant project recognizes,NFR,O
logical architecture operational radio illustrated figure 71,NFR,O
rtp interface shall support distributed processing capability,NFR,O
arena mobile equipment shall capable store die without operational temperature 40c without permanent damage,NFR,O
mobile radio shall following power class,NFR,O
access transmit queue shall controlled within communication service primitive,NFR,O
tc shall provide common software architecture tc interaction predator outrider future tactical uavs,NFR,O
operational radio shall suitable use car adapter kit,NFR,O
additional information may also provided available external system,NFR,O
system run multiple browser,NFR,O
normal operation mode tc shall support following function,NFR,O
bit shall executed without interfering normal execution application task,NFR,O
communication service shall route message proper virtual group socket,NFR,O
software developed keeping downward compatibility intact,NFR,O
dedicated pushtotalk button shall provided,NFR,O
lead washing process operate within established physical web service structure,NFR,O
necessary train interface unit may implemented adapt entrain system standard interface provided cab radio,NFR,O
ertmsetcs level 2 3 implemented network shall capable supporting data communication train control system,NFR,O
primary database used store cached data active user,NFR,O
etc train borne equipment shall capable receiving information national train control system mean stm,NFR,O
general purpose radio comprise man machine interface includes following component display control panel loudspeaker microphone,NFR,O
battery requirement shall provided without use discontinuous reception transmission ddr,NFR,O
tc shall capable positioning antenna maintain los well sitcom,NFR,O
software must portable window o,NFR,O
standardized output interface shall enable transmission information recorded medium investigation,NFR,O
ftse shall execute redstone power pc 604r,NFR,O
data synchronized instance om application working server able share use data,NFR,O
direct mode implemented mean enter leave direct mode shall provided,NFR,O
battery used mobile equipment shall sufficient capacity support typical railway use electromagnetic compatibility,NFR,O
clean objectoriented design allowing good maintainability,NFR,O
product must support internet explorer 55,NFR,O
scheduler shall provide mechanism task optionally define user written softwareexceptionhandling routine run context task,NFR,O
tc hardware flexibility expansion shall provided use gfe adi cot hardware designed upgraded expanded,NFR,O
local area group call implemented shall able modified within network,NFR,O
system shall protected open source firewall called fire starter httpwwwfssecuritycom,NFR,O
land based part system shall provide communication mobile stationary travelling speed maximum allowable line speed,NFR,O
transfer time message segment less 30 second 95 message,NFR,PE
audible visual indication incoming call shall provided,NFR,PE
system must maintain audit trail long required least life case refers,NFR,PE
short audible visual indication incoming call shall provided,NFR,PE
powering cab radio shall cause disconnection cab radio mobile network,NFR,PE
audible visual indication incoming call shall provided,NFR,PE
isolation etc train borne equipment shall disconnect etc train borne equipment vehicle braking system,NFR,PE
driver previously registered train shall informed audible visual indication train number overridden another driver,NFR,PE
sequence described 1139i step 17 may interrupted may require additional user action confirmation,NFR,PE
56k connection system response time operation must 6 second 90 time,NFR,PE
new n observed functioning n return operational mode within 500 microsecond,NFR,PE
following processor recovery time frozen ftse software shall account frozen time update met proper value,NFR,PE
failure apply full service brake detected emergency brake shall stop train rear danger point,NFR,PE
shall provide functionality maximum delay time 1 second operator command system acknowledgement response,NFR,PE
idle mode gsm service indicator see lost mobile shall give audible visual indication,NFR,PE
sep api call made prior actual separation call shall return zero,NFR,PE
mobile equipment shall function correctly travelling speed 0 kmh,NFR,PE
etc onboard shall capable receiving information regarding air tightness trackside,NFR,PE
audible indication provided user network service longer available,NFR,PE
ftse shall wait icp signal completed initialization suspending application memory realignment,NFR,PE
met shall initialized zero first 50 hz frame,NFR,PE
tc shall provide capability monitor specific telemetry element realtime record telemetry element future review processing,NFR,PE
system shall let existing customer log website email address password 5 second,NFR,PE
shall also possible allow driver change adhesion condition case information trackside priority,NFR,PE
system must provide adequate response time commonly performed function standard peak condition,NFR,PE
draper shall violate 100 microsecond requirement,NFR,PE
system initialization hardware reset starting 50 hz timer shall take longer 15 minute,NFR,PE
surviving triplex shall attempt sync failed fcp,NFR,PE
system shall let administrator deactivate customer account 1 minute customer longer able access website,NFR,PE
etc train borne equipment shall supervise end movement authority information available onboard,NFR,PE
shall possible driver increase decrease loudspeaker volume within adjustment range selected,NFR,PE
time n failure identified n recoverable time n recovered shall 15 minute,NFR,PE
system initialization shall enable reset processor watchdog timer absence fault watchdog timer expire reset processor,NFR,PE
timestamp shall 32bit quantity indicates relative time within fcc,NFR,PE
link assurance signal shall deactivated upon receipt shunting emergency call,NFR,PE
shall possible deregister ten functional number item equipment physically connected cab radio within 30 second,NFR,PE
sync procedure shall terminate 5 n synchronized four n synchronized four n powered timeout period,NFR,PE
n shall provide capability perform voted vme bus reset,NFR,PE
control flow four fcs shall similar identical,NFR,PE
onboard shall supervise train ceiling speed,NFR,PE
onoff control designed prevent accidental activation deactivation,NFR,PE
continuous visual indication emergency function activated shall provided originating receiving terminal,NFR,PE
flight n storage life shall 5 year better,NFR,PE
confirmation message shall received central location 99 probability success within 5 minute call termination,NFR,PE
continuous bit shall diagnose faulty fcr within 1 second detecting failure,NFR,PE
telemetry capability shall transfer telemetry block fcp ccnucc connected ctc,NFR,PE
acceptable one mobile user involved group call may talk time case,NFR,PE
call terminated continuous visual alarm indication cab shall cease,NFR,PE
ccss tone shall frequency 2035 hz,NFR,PE
ftp system shall monitor presence new channel 1 hz periodic rate,NFR,PE
mission mode congruent noncongruent memory boundary shall known fixed,NFR,PE
redundancy management shall notify application alignment reintegration processor take place 1 second,NFR,PE
password field completed repeat password field must completed,NFR,PE
failed channel provided recoverable shall recovered less 15 minute,NFR,PE
downtime failure shall exceed x hour,NFR,PE
system shall allow minimum 6 user work time,NFR,PE
ii picking handset shall transfer communication handset reduce loudspeaker volume minimum level,NFR,PE
terminate gcse call dtmf signalling 3digit sequence shall used,NFR,PE
cma report shall returned later 60 second user entered cma report criterion,NFR,PE
fcp watchdog timer shall remain active memory realignment,NFR,PE
operational n enter working group tnr routine fcs request send tnr packet,NFR,PE
runtime diagnostics implemented failure interface shall reported driver via display,NFR,PE
transition occur train stationary shall initiated automatically manually appropriate,NFR,PE
railway emergency call shall able initiated using single red button see section 13,NFR,PE
scheduler shall place processing time bound rate group ensure rate group monopolizes fcc processor,NFR,PE
system shall able email customer vendor less 1 second,NFR,PE
system shall able restore 1000 record per second,NFR,PE
possible driver speak part call receiving broadcast call,NFR,PE
recreation inventory quantity adjustment period previous 30 day shall take 30min,NFR,PE
n syndrome shall include indication vote error faulttolerant clock synchronization error fiberoptic link error detailed,NFR,PE
changing battery result losing data stored radio,NFR,PE
n fails synchronize n sync predefined timeout period shall enter tnr microcode,NFR,PE
automatic self testing radio shall use gsm imsi attach procedure,NFR,PE
random vibration withstood mobile equipment shall 025g three ax freedom,NFR,PE
train received emergency stop etc shall command emergency brake,NFR,PE
n shall directly enter tnr microcode voted reset n watchdog timer reset,NFR,PE
call shall continue terminated calling driver authorized controller network,NFR,PE
audible indication provided user network service longer available,NFR,PE
majority unanimity fcp member observed packet output buffer timeout shall initiated,NFR,PE
fcp shall application initialization complete send fcp ready sync message icp,NFR,PE
reversing function shall possible one active cab closed time procedure,NFR,PE
shall possible command immediate train stop,NFR,PE
iron administrator must able add new product website within 2 minute,NFR,PE
assume doggie freeze baseline usb system delivery,NFR,PE
pointtopoint call shall allow party talk simultaneously public emergency voice call,NFR,PE
switching radio shall cause following,NFR,PE
system must maintain audit trail long required least life case refers,NFR,PE
system shall able add product shopping cart less 2ms,NFR,PE
confirmation message shall commence end call radio move call area,NFR,PE
qualification testing sweep time per axis shall 3 minute 141 arm overall,NFR,PE
maximum timeout value shall 32768 microsecond 256 count least significant bit faulttolerant clock 128 microsecond,NFR,PE
upon activation registration function used message see section 11 shall sent cab radio,NFR,PE
tc shall provide override payload automated well preprogrammed input,NFR,PE
utility timer shall available via ftse api call,NFR,PE
driver shall able confirm train integrity rbc manually confirmation requires train stationary,NFR,PE
system shall able validate credit card less 2 second,NFR,PE
mission execution tc shall provide operator caution warning uav system identified malfunction,NFR,PE
ct shall also contain timeouts vote mask,NFR,PE
transition occur train stationary shall initiated automatically manually appropriate,NFR,PE
shall possible register ten functional number item equipment physically connected cab radio within 30 second,NFR,PE
train speed shall speed specified national value,NFR,PE
ftp shall recover babbling n icp within 40 millisecond detected,NFR,PE
audible visual indication shall provided driver call proceeding,NFR,PE
presence absence neft icp shall impact ftse software ie ftse icp load different,NFR,PE
time management shall provide met,NFR,PE
direct mode equipment sensitivity shall least 107dbm,NFR,PE
scheduler shall detect 50 hz 10 hz 1 hz rate group overrun,NFR,PE
contact mobile radio network lost cab radio shall give audible visual indication,NFR,PE
performing given task mission execution operator shall given appropriate warning message concurrently executing subsystem task,NFR,PE
timestamps shall congruent across member destination fcp,NFR,PE
railway emergency call shall able initiated using single red button see section 13,NFR,PE
upon usb plugged system shall able deployed operational less 1 minute,NFR,PE
time fcr failure identified component fcr recoverable alignment permitted time fcr recovered shall 15 minute,NFR,PE
mean interleave direct mode operation provided see section 15,NFR,PE
process scheduling shall performed certain controlled location synchronization point,NFR,PE
system shall let administrator add remove category website 5 minute,NFR,PE
mean time failure must least 300 hour,NFR,PE
system able connect call audible visual indication shall provided user send railway emergency call,NFR,PE
scheduler shall provide api call fcp application task alert scheduler vehicle mode change,NFR,PE
call shall connected loudspeaker driver pick handset,NFR,PE
ftse shall configure fcp halt processing mpe test fail,NFR,PE
case transition acknowledged driver fails acknowledge required etc shall initiate brake application,NFR,PE
indication provided shall enable driver drive permitted speed without receiving warning without intervention etc,NFR,PE
equipment mounted inside train cab shall capable withstanding following maximum level sinusoidal vibration,NFR,PE
cab radio shall capable handling contention call differing priority,NFR,PE
timestamps shall also congruent across active processor case broadcast,NFR,PE
intentional powering fcp icp n shall classified fault,NFR,PE
shall possible driver initiate call following type controller minimum driver action require deg single keystroke,NFR,PE
tc software terminated normally tc shall enter normal startup mode operation upon application power,NFR,PE
communication service shall provide synchronous message passing service form message queue,NFR,PE
mmi onoff control shall designed prevent accidental activation deactivation,NFR,PE
direct mode equipment shall maximum transmit power 1 watt,NFR,PE
onoff control designed prevent accidental activation deactivation,NFR,PE
audible indication 5 second confirmed trial shall provided originating receiving user emergency function activated,NFR,PE
activation railway emergency call function shall cause radio initiate railway emergency call defined section 13,NFR,PE
operational radio shall cope rapid temperature fluctuation 3csecond,NFR,PE
shunting call shall group call shall railway operation priority see section 102,NFR,PE
error case support service shall attempt choose errorfree ccnucc path switching back forth channel necessary,NFR,PE
mission planning tc shall provide terrain avoidance warning minimum reception altitude calculation line sight flight,NFR,PE
mission elapsed time shall drift rate worst 50 ppm,NFR,PE
timestamp counter shall initialized zero sync,NFR,PE
shunting mode implemented link assurance button shall designed avoid accidental use,NFR,PE
mcc bit case provided hardware state permit ftse shall log error report x38 telemetry stream,NFR,PE
product shall produce search result acceptable time,NFR,PE
system employ demand asynchronous loading faster execution page,NFR,PE
onboard shall supervise train ceiling speed,NFR,PE
mechanism deactivation link assurance signal shall specified,NFR,PE
operational requirement direct mode,NFR,PE
handset picked loudspeaker shall continue operate reduced volume level,NFR,PE
tc shall uninterrupted power supply critical phase landing takeoff minimum mission execution,NFR,PE
emission train mounted antenna associated cab radio shall limited specified,NFR,PE
system shall let customer register website unlimited movie subscriber user 10 minute,NFR,PE
transition occurs train moving shall principle occur automatically,NFR,PE
exchange single packet data icp fcs via n shall take longer 200 microsecond,NFR,PE
network shall terminate ongoing gcse call receives 3digit sequence transmitted via dtmf signal,NFR,PE
every medium frame ftse software shall accept pointer telemetry program buffer space containing telemetry data,NFR,PE
shall possible driver initiate railway emergency call see section 13,NFR,PE
switching mmi shall cause following,NFR,PE
time management shall provide sep,NFR,PE
bit shall executed 50 hz rate 50 hz flight critical operation complete,NFR,PE
shall possible command immediate train stop,NFR,PE
tc shall provide capability compute range bearing two geographic position located payload imagery display,NFR,PE
train shall leave partial supervision train borne equipment operative longer shunting selected full supervision available,NFR,PE
system shall refresh display every 60 second,NFR,PE
vii automatic network selection implemented shall possible driver activate deactivate automatic network selection,NFR,PE
interconnection arena network take place interconnecting disc,NFR,PE
short audible visual indication incoming call shall provided,NFR,PE
audible visual indication shall provided user call proceeding,NFR,PE
system able connect call audible visual indication shall provided driver send railway emergency call,NFR,PE
start shall test ensure four fcs synchronized,NFR,PE
memory scrubbing software shall capable scrubbing 10 megabyte 8 minute,NFR,PE
powering cab radio shall cause disconnection cab radio mobile network,NFR,PE
train received emergency stop etc shall command emergency brake,NFR,PE
normal operation mobile radio unit expected combination environmental condition experienced,NFR,PE
communication service shall deliver message order member virtual group,NFR,PE
tc shall provide capability fully control display av identification friend foe,NFR,PE
shunting group id activated operational radio shall initiate regular shunting mode procedure detailed table 141,NFR,PE
telemetry capability shall signal ccnucc transfer telemetry block ctc,NFR,PE
handset picked loudspeaker shall continue operate reduced volume level,NFR,PE
switch shall soft cab radio completes following housekeeping function actually switching,NFR,PE
upon activation deregistration function used message see section 11 shall sent cab radio,NFR,PE
event train enters affected area warning stage complete audible visual indication shall provided,NFR,PE
radio shall onoff switch switching radio shall initiate following,NFR,PE
mission elapsed time shall initialized zero first 50 hz frame,NFR,PE
system shall able email customer vendor less 1 second,NFR,PE
ftse shall configure icp continue processing power initial bit test fail,NFR,PE
event asmr causing disruption ongoing direct mode communication railway define protocol reestablishing contact mean asmr,NFR,PE
radio equipment installed driver cab shall obstruct driver vision otherwise hinder safe driving train,NFR,PE
mmi onoff control shall designed prevent accidental activation deactivation,NFR,PE
redundancy management shall alignment permitted serially incorporate two new channel powered simultaneously,NFR,PE
milstd822b system safety program requirement den safety risk,NFR,PE
request rbc driver shall possibility confirm track ahead end sight section clear,NFR,PE
mobile change network automatically visual audible indication shall given,NFR,PE
event software hardware failure must possible restore system inline synchronization within xx hour,NFR,PE
audible indication provided user network service longer available,NFR,PE
time management shall provide utility timer,NFR,PE
fair shall take 2 msec per minor frame nominal nofault condition,NFR,PE
reversing function shall possible one active cab closed time procedure,NFR,PE
shall possible driver increase decrease loudspeaker volume within adjustment range selected,NFR,PE
visual audible indication shall given remaining capacity battery enable 10 minute full duplex call time,NFR,PE
tc shall allow operator command flight behavior characteristic inherent selected av,NFR,PE
continuous bit shall detect failed icp processor detecting absence periodic message 2 consecutive minor cycle,NFR,PE
start shall able synchronize operational fcs presence skew power sequence,NFR,PE
acknowledgement specified driver shall acknowledge transfer full supervision partial supervision within 5 second,NFR,PE
tc shall provide capability implement emergency action plan supported av control av equipment failure,NFR,PE
call setup time requirement dependent mainly upon priority see section 102,NFR,PE
driver shall able release etc emergency brake application stationary,NFR,PE
telemetry capability shall provide status data ftse fdi ccnucc rs422 link ctc,NFR,PE
audible visual indication shall provided driver call proceeding,NFR,PE
ftse shall configure icp halt processing mpe test fail,NFR,PE
scheduler shall issue 50 hz interrupt icp skew greater 330 microsecond,NFR,PE
shall possible command conditional emergency stop train already passed location emergency stop command shall ignored,NFR,PE
following power applied five chassis ftp system shall become operational 15 minute,NFR,PE
emergency brake shall applied traction unit stationary,NFR,PE
indication provided shall enable driver drive permitted speed without receiving warning without intervention etc,NFR,PE
possible driver speak part call receiving broadcast call,NFR,PE
visual indication shall provided user network service longer available,NFR,PE
normal operation mobile radio unit expected combination environmental condition experienced,NFR,PE
runtime diagnostics implemented diagnostic test shall interfere normal operation cab radio,NFR,PE
dispute application shall support 350 concurrent user without degradation performance application,NFR,PE
counter shall increase monotonically except tnr,NFR,PE
operator shall able manually override automatic frequency selection desired,NFR,PE
changing battery shall result loss data stored radio,NFR,PE
timestamp counter reach maximum value hex ffffffff approximately 5500 second shall wrap around zero,NFR,PE
ftse shall configure fcp continue processing power initial bit test fail,NFR,PE
operationally caused infrequent slight moisture condensation shall lead malfunction failure,NFR,PE
within shunting group shall possible one member group transmit link assurance signal time,NFR,PE
train start reversing shall cancelled,NFR,PE
whenever power reset occurs system initialization shall perform following function,NFR,PE
ftse software shall take 1 msec 50 hz minor frame,NFR,PE
memory alignment shall reset watchdog timer absence fault timer never expires reset processor,NFR,PE
lead process longer 25 second system record event duration,NFR,PE
display shall clearly readable normal driver position assuming normal reading distance,NFR,PE
mobile equipment shall function correctly travelling speed 0 kmh,NFR,PE
visual audible alarm shall given remaining capacity battery enable 10 minute full duplex call time,NFR,PE
